,CaseId,geometry,LATITUDE,LONGITUDE,Priority_Value,DN,days_elapsed,satisfaction_level,no_of_priority_areas,no_of_retail_licenses_vicinity,avg_compliance_percent,days_elapsed_last_inspection,Priority_Value_score,DN_score,days_elapsed_score,satisfaction_level_score,no_of_priority_areas_score,no_of_retail_licenses_vicinity_score,avg_compliance_percent_score,days_elapsed_last_inspection_score,Final_score_Visibility,Final_score_Impact,Total_score,Total_score_classes,OBJECTID,REGION,AMANACODE,AMANAARNAM,AMANAENAME,SHAPE_AREA,SHAPE_LEN,index_right
372,INC-22-01-154048,POINT (561074.9223453812 2716481.5828874717),24.561078,39.603111,3,386,264,0,0,0,0.0,0,1.0,0.0,0.36,0.33,0.0,0.0,0.0,0.0,0.2,0.5,34.73,Medium (10%-40%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
373,INC-22-10-015672,POINT (565395.9750888698 2705909.44004756),24.465423097,39.645291232,2,3384,15,0,1,3,0.0,0,0.5,0.06,0.01,0.33,0.5,0.0,0.0,0.0,0.32,0.25,34.7,Medium (10%-40%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
374,INC-21-05-152503,POINT (1280233.0699906368 2759015.7341151484),24.747382418,46.701105237,1,3142,506,0,0,20,0.0,0,0.0,0.06,0.69,0.33,0.0,0.04,0.0,0.0,0.43,0.0,34.68,Medium (10%-40%),4229,منطقة الرياض,004,أمانة منطقة الرياض,Alriyadh Municipality,33.5501795939,30.1679480228,1
375,INC-22-09-011069,POINT (559250.9600121421 2705250.5338515905),24.459719042,39.584630761,3,11675,47,0,0,19,0.0,0,1.0,0.29,0.03,0.33,0.0,0.04,0.0,0.0,0.2,0.5,34.64,Medium (10%-40%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
376,INC-22-09-051944,POINT (520200.4845495106 2407335.844290244),21.769580173,39.195387259,3,913,39,-1,0,19,0.0,0,1.0,0.01,0.03,1.0,0.0,0.04,0.0,0.0,0.04,0.83,34.6,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
377,INC-22-02-034146,POINT (613947.4855174596 3311109.3454132383),29.925441145,40.18051967,3,595,253,0,0,5,0.0,0,1.0,0.01,0.34,0.33,0.0,0.01,0.0,0.0,0.2,0.5,34.58,Medium (10%-40%),4234,منطقة الجوف,010,أمانة منطقة الجوف,Al Jouf Municipality,7.96802058843,16.8237292283,6
378,INC-22-02-007579,POINT (815888.9483154023 2051361.3075049673),18.529225491,41.991913958,3,285,259,0,0,3,0.0,0,1.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.2,0.5,34.57,Medium (10%-40%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
379,INC-22-01-038590,POINT (1051571.6295626122 1941171.8498749759),17.488984025,44.189637849,2,1187,285,0,0,17,2.400000000000006,45,0.5,0.01,0.39,0.33,0.0,0.03,0.04,0.12,0.3,0.27,34.55,Medium (10%-40%),4228,منطقة نجران,015,أمانة منطقة نجران,Najran Municipality,12.3017864708,19.4977381596,0
380,INC-22-08-057437,POINT (1611149.2413878385 2972999.4350448917),26.442239955,50.102651864,1,25184,68,0,0,42,0.0,0,0.0,0.63,0.04,0.33,0.0,0.11,0.0,0.0,0.43,0.0,34.51,Medium (10%-40%),4237,المنطقة الشرقية,006,أمانة المنطقة الشرقية,Eastern Region Municipality,5.99314268248,23.0092070926,9
381,INC-22-10-019552,POINT (525008.8370368783 2375601.4344710144),21.482801608,39.241418646,3,12304,14,0,0,20,0.0,0,1.0,0.31,0.01,0.33,0.0,0.04,0.0,0.0,0.2,0.5,34.43,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
382,INC-22-10-067196,POINT (652300.7318605098 2374643.5420459025),21.467860139,40.469944141,3,1711,6,-1,0,18,0.0,0,1.0,0.03,0.0,1.0,0.0,0.04,0.0,0.0,0.04,0.83,34.34,Medium (10%-40%),4242,منطقة مكة المكرمة,016,أمانة محافظة الطائف,Taif Municipality,7.75582134247,16.0826012511,14
383,INC-22-05-017565,POINT (521141.77922161575 2382998.8857334945),21.549687608,39.204182178,2,15688,167,0,0,3,0.0,0,0.5,0.39,0.17,0.33,0.0,0.0,0.0,0.0,0.31,0.25,34.31,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
384,INC-22-09-046615,POINT (519068.9617542065 2406360.243866717),21.760778407,39.184431494,3,614,40,-1,0,17,0.0,0,1.0,0.01,0.03,1.0,0.0,0.03,0.0,0.0,0.04,0.83,34.29,Medium (10%-40%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
385,INC-22-06-041880,POINT (583474.889048225 2363615.944630895),21.372753332,39.805189446,3,4268,129,0,0,54,0.0,0,1.0,0.08,0.13,0.33,0.0,0.14,0.0,0.0,0.19,0.5,34.27,Medium (10%-40%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
